HasTopic,,,,1507352515324357607,,122113,,,
Sale,61455668465381340,1462622513134765543,,,,826930,10/9/2018,,
HasTopic,,,,1117948532055110334,,104555,,,
Author,153512735688327467,,,,1462224183401301129,,,,
HasTopic,,,,647646461725557021,,1189753,,,
HasTopic,,,,212270264562447212,,610224,,,
HasTopic,,,,843484131217133401,,11663,,,
HasTopic,,,,1073012852020353075,,9420,,,
HasOrg,,,,,41193185922065530,547867,,,
HasTopic,,,,624664113111578304,,19809,,,
Author,1276204392516224975,,,,824022944420201152,,,,
Sale,1654115753514750241,151074189275109409,,,,223807,8/23/2018,,
Author,1424431740123712133,,,,1258182522315035787,,,,
Includes,,,1615340315424362057,72942455243332823,,,,,
HasTopic,,,,874071493451262212,,37637,,,
Author,531630100304167511,,,1156513526687239692,,,,,
HasTopic,,,,,510276051516523603,7392008,,,
HasTopic,,,,930644530064618536,,17021201,,,
HasTopic,,,,144410224266262521,,10289,,,
Sale,42921627512562911,624345574059349363,,,,657008,10/11/2018,,
HasTopic,,,,340640552968964626,,275068,,,
Author,1646586723116020582,,,,464039239752344525,,,,
Author,1612661353325135259,,,,232725311403923103,,,,
Author,505104375454094545,,,1382414603694836053,,,,,
Author,727986541183720795,,,970434160184595823,,,,,
HasTopic,,,,131933418488118869,,2306047,,,
HasTopic,,,,122534194312912464,,870,,,
Sale,1414919515533832969,1338257764510754441,,,,55424107,10/15/2018,,
Author,516566023812995195,,,,1422102404443075543,,,,
HasTopic,,,,675912056411908435,,1646195,,,
HasTopic,,,,,410644453223621225,661652,,,
Author,916263592252537579,,,,401659462089222194,,,,
Includes,,,1372844135435303981,901445234721355304,,,,,
HasTopic,,,,,659155279116398218,3303945,,,
HasTopic,,,,932354748044546055,,28087935,,,
Author,934235824206276395,,,,849336510272291405,,,,
Author,511252240648661411,,,,1450211522450982334,,,,
Author,681806096339132098,,,,931525186280914211,,,,
Sale,507379517468251952,138596765649636257,,,,192861,10/10/2018,,
Includes,,,1371100161965701220,1512123620661572127,,,,,
Author,471517281355222922,,,,614563225256235305,,,,
Includes,,,15133734353741126,312051506246004356,,,,,
HasTopic,,,,1192259494823230110,,252000,,,
HasTopic,,,,,1419109241450455650,269366,,,
Author,534348614813135008,,,1424431072653215840,,,,,
Author,283210818019055983,,,,849336510272291405,,,,
Author,727986541183720795,,,814762510662121017,,,,,
HasTopic,,,,,1520932504212970515,383211,,,
Sale,1358048519912353809,553570642865526519,,,,,8/29/2018,,
HasTopic,,,,935312739429207661,,313606,,,
Author,1436363166565280301,,,,1451452451222349933,,,,
Author,450750484050143587,,,,1451452451222349933,,,,
HasTopic,,,,364791485623205329,,13963,,,
HasTopic,,,,1022072619411832223,,400985,,,
Author,352834514150114330,,,,756412235620556023,,,,
Author,1515022823133309513,,,,1277951861533936926,,,,
Includes,,,1615340315424362057,1195781354855211315,,,,,
HasTopic,,,,250354644163859707,,7722,,,
HasTopic,,,,1178172313156007954,,60918,,,
Author,40542267214600491,,,,1542834430065923762,,,,
Author,1362355248436388366,,,,41193185922065530,,,,
